id,name,segment_ids,description,part_of
132,Crabtree Valley Trail,638; 644,,
133,Crabtree-Oak Park Trail,645; 646,,
134,Creekside Landing Drive Greenway,3743,,
135,Crescent Green Greenway,6148,,
136,Crossroads Greenway,3504,,
137,Crowder Trail,2338,,
138,Davis Dr Street-Side  Trail,3390; 6885,,
139,Davis Dr Street-Side Trail,3599; 3600; 3634,,
140,Davis Drive,4394; 4395; 4410; 4412; 4417; 4435; 4436; 4437; 4460; 4461; 6754,,
141,Depot Trail,176,,
142,Dillard Dr Street-Side Trail,3627,,
143,Dixon Ave Street-Side Trail,6151,,
144,Downing Village Greenway,3405; 3409,,
145,Downtown Strollway,6707; 6708,,
146,Dunham Park Connector Trail,3453,,
147,Dunn Creek Greenway,4275; 4290; 4291; 4295; 5933; 5934; 6216; 6223; 6602; 6603,,
148,Dunn Road,2402,,
149,Durant Connector Trail,756,,
150,Durant Segment,405; 6599; 6600,,
151,Dutchman's Branch GW Connector,6821,,
152,Dutchman's Branch Greenway,2482; 3565; 3566; 4485; 4877; 6820,,
153,Dutchmans Branch Greenway,6913,,
154,E Carroll Joyner Park Greenway,4157; 4158; 4159; 4160; 4161; 4162; 4163; 4164; 4165; 4166; 4167; 4168; 4169; 4170; 4171; 4172; 4173; 4174; 4175; 4176; 4177; 4178; 4179; 4180; 4181; 4182; 4183; 4184; 4185; 4186; 4187; 4188; 4189; 4190; 4191; 4192; 4193; 4194; 4195; 4196; 4197; 4198; 4199; 4200; 4201; 4202; 4203; 4204; 4205; 4206; 4207; 4208; 4209; 4210; 4211; 4212; 4213; 4214; 4215; 4216; 4217; 4218; 4219; 4220; 4221; 4222; 4223; 4224; 4225; 4226; 4227; 4228; 4229; 4230; 4231,,
155,E. Beaver Dam Greenway,120,,
156,E. Carroll Joyner Park,4232,,
157,East Coast Greenway,4235,,
158,East Fork Mine Creek Trail,6490,,
159,East Wake High Trail,128,,
160,East Williams Multi-Use Path,6714,,
161,East/West Greenway,117,,
162,Ederlee Dr Street-Side Trail,6139,,
163,Edgemont Rd. Bik,37,,
164,Edwards Mill Connector,6033,,
165,Eliza Pool Connector,3942; 4890; 4891; 4892,,
166,Enviromental park trail,2676,,
167,Evans Mill Greenway,3183,,
168,Evans Rd,3755; 3756; 3757,,
169,Evans Rd Street-Side Trail,3477; 6167,,
170,Evans Road Multi-Use Path,6673,,
171,Fairview Greenway,4433; 4463; 4464,,
172,Fallon Creek Trail,625; 626,,
173,Falls Lake Trail,2229,,
174,Falls River Connector Trail,755,,
175,Farm Pond Rd Street-Side Trail,3559,,
176,Farmington Woods GW Connector,720,,
177,Farmington Woods Greenway,721; 725; 2911; 3681; 4078; 4506; 6596,,
178,Flaherty Park Greenway,4252,,
179,Flat Branch Greenway,3344; 3345,,
180,Forest Ridge Trail,3244,,
181,Forrestville Road,11,,
182,Future Regional Light Rail Corridor MUP,3739,,
183,Future Regional Light Rail MUP Connector,6785,,
184,GLC Rd Street Side Trail (East),6179; 6521,,
185,GLC Rd Street-Side Trail (East),3875; 4887; 6536; 6916; 6917,,
186,GLC Rd Street-Side Trail (South),3665,,
187,GLC Rd Street-Side Trail (West),6537; 6613; 6614; 6616; 6918,,
188,GLTD Rd Mult-Use Trail (East),3591,,
189,GLTD Rd Multi-Use Trail (West),6615,,
190,GLTD Rd Street-Side Trail (East),3578; 3623; 3624,,
191,Gardner Street Trail,3945,,
192,Glengarry Sidewalk Connector,3515,,
193,Glenkirk Greenway,3629; 4484; 6556,,
194,Glenkirk Street-Side Trail,3465,,
195,Gorman St Connector,3936; 3937,,
196,Grace Park Greenway,4473,,
197,Granatic Rock Greenway,111; 3825,,
198,Graylyn Trail,652,,
199,Green Dr,4427,,
200,Green Hope Greenway,4135,,
201,Green Hope School Greenway,3418; 3419; 3847,,
202,Green Hope School Rd Street-Side Trail,3339; 6905; 6906,,
203,Green Level Church Multi-Use Path,6761; 6763; 6765; 6775; 6790,,
204,Green Level Crossing Connector,6776,,
205,Green Level Greenway,3346; 3350; 3351; 3354; 6610; 6810,,
206,Green Pace Road,31,,
207,Greenway Loop,4234; 4236; 4239; 4250; 5929; 6219,,
208,Greenwood Circle Greenway,3965; 4493,,
209,Greystone Greenway,4071; 6499,,
210,Haddon Hall,3721,,
211,Haddon Hall Greenway,6700; 6701; 6702; 6703,,
212,Haddon Hall Restaurant,3720,,
213,Hare Snipe Creek Trail,3935,,
214,Harris Creek Greenway,107,,
215,Harris Lake Park Trails,2357; 2358; 2359; 2360; 2361; 2362,,
216,Harrison Ave Street Side Trail,6178,,
217,Harrison Ave Street-Side Trail,6164,,
218,Harrison Oaks Blvd Street-Side Trail,6162,,
219,Hatcher Creek Greenway,4416,,
220,Hatcher Grove Greenway,1037; 1114; 3663; 3850; 3933; 3984; 3985; 3986; 4331,,
221,Heritage High Soft Trail,6212; 6213,,
222,Heritage Pines Greenway,2921,,
223,Heritage South Greenway,5944,,
224,Heritage Trail,1108; 1109,,
225,Heritage Trail E,186,,
226,Heritage Trail W,182,,
227,Higgins GW Connector,6605,,
228,Higgins Greenway,6549; 6550; 6551; 6552,,
229,Higgins Greenway Connector,4360; 6503; 6548,,
230,High House Rd Street-Side Trail,3438; 3439; 3441; 4079; 4873,,
231,High Speed Rail Trail Connection,4248,,
232,Highcroft Dr Street-Side Trail,6617; 6881; 6882; 6896,,
233,Highcroft Drive Street-Side Trail,3874,,
234,Highcroft Elementary Connector,6538,,
235,Highcroft Street-Side Trail,3872; 3961; 6583,,
236,Highcroft Village Greenway,3361; 3420; 6618; 6619; 6632,,
237,Hilliard creek trail,2489,,
238,Hinshaw Greenway,3516; 4075; 4076,,
239,Historic Fuquay-Varina Greenway,180; 183,,
240,Historic Rail Trail,123,,
241,Hodge Road,21,,
242,Holly Springs Rd Sidewalk Connector,3536,,
243,Honeycutt Creek Trail,6491,,
244,Horse Creek Greenway,378; 4305; 4307; 4308; 4309; 4310,,
245,Horseman Creek Trail,173,,
246,House Creek Trail,6072; 6073; 6074; 6075; 6083; 6601,,
247,Humie Olive Rd,3759; 3760,,
248,Hunter Street Multi-Use Path,6715,,
249,Hunter Street Park Trail,6726,,
250,Indian Creek GW Connector,6571,,
251,Indian Creek Greenway,138; 3402; 4389; 4390; 6847,,
252,Inman Connector Trail,517,,
253,Irongate Greenway,3452; 3454; 3456; 3460,,
254,Ironwood Connect,435,,
255,Ironwood Trail,441,,
256,Jenks Rd,6789,,
257,Jeremiah Street,4408; 4409,,
258,Jessie Dr,6778,,
259,Jessie Dr (extension),6777; 6779; 6781,,
260,Jessie Dr (extenstion),6782,,
261,Jonesville Rd. B,23,,
262,Joyner Park Soft Trail,6217; 6218,,
263,K/R Greenway,124,,
264,Kelly Road Multi-Use Path,6766; 6767,,
265,Kenneth Creek Trail,175,,
266,Kildaire Farm Rd Street-Side Trail,3570,,
267,Kildaire Farm Road Street-Side Trail,3569; 3927,,
268,Kildaire Farms Street Side Trail,6173,,
269,Kit Creek Greenway,3378; 3381; 3382; 3386; 3687; 3688; 5917; 5918; 6897; 6899,,
270,Kit Creek Rd Street-Side Trail,3574,,
271,Kitts Creek Multi-Use Trail,4364,,
272,Lake Benson Greenway,389,,
273,Lake Benson Woodland Trail,6932; 6934; 6935,,
274,Lake Crabtree Connector Trail,6826,,
275,Lake Grove Blvd Street-Side Trail,6127; 6128,,
276,Lake Johnson Greenway,664; 665; 666; 668; 669; 670; 673; 674; 675; 676; 677; 678; 680,,
277,Lake Johnson Segment,3951; 5927; 6225; 6229,,
278,Lake Lynn Segment,481; 482; 521; 3116,,
279,Lake Neusacoca Greenway,2970,,
280,Lake Park Connec,439,,
281,Lake Park Trail,3150,,
282,Lake Pine Dr Sidewalk Connector,3445,,
283,Lake Pine Dr Street-Side Trail,3650; 6134,,
284,Lake Pine Multi-Use Path,6717,,
285,Lake Wheeler Greenway,390,,
286,Laura Duncan Multi-Use Path,6718,,
287,Laura Duncan Road,6799; 6800; 6802,,
288,Lexie Lane Greenway,3461,,
289,Little River Greenway,101; 118,,
290,Little Rock Trail,2879; 3939; 4507; 4508; 4893; 6040; 6041; 6042; 6043; 6044; 6045; 6046; 6047; 6048; 6049,,
291,Loblolly Segment,3950; 6529,,
292,Loblolly Trail,6209,,
293,Loch Highlands Dr Street Side Trail,6172,,
294,Louis Stephens Dr Street-Side Trail,3411; 6122; 6123; 6126,,
295,Lower Buffalo Greenway,115,,
296,Lower Moccasin Trail,114,,
297,Lower Walnut - Walnut Creek Park Segment,6232,,
298,Lower Walnut - Walnut Creek Park Trail,761,,
299,Lower Walnut Creek - Worthdale Trail,610,,
300,Lower Walnut Creek Segment,4896; 4897; 6039,,
301,Lower Walnut Creek Trail,400; 3901; 4894; 4895; 4898,,
302,Lower Walnut Creek Trail Connector,3900,,
303,MIddle Creek Greenway,3541,,
304,MacDonald Woods Connector Trail,3706; 4503; 4504,,
305,Macedonia Greenway,3501; 3512; 3966,,
306,Macedonia Lake GW Connector,6626; 6627,,
307,Macedonia Lake Loop Trail,6622; 6623; 6624,,
308,Mack Todd/Wendel,34,,
309,Macon Road Trail,710; 3267,,
310,Magnolia Connector Trail,3401,,
311,Mahlers Creek Greenway,154; 3689; 3690,,
312,Main Street Trail,108,,
313,Marks Creek Greenway,113,,
314,Marsalis Way Street-Side Trail,6165,,
315,Marsh Creek Trail,519; 4868,,
316,Marshburn/Lizard,27,,
317,Martin Street Connector Trail,507,,
318,Maynard Oaks Connector Trail,3519,,
319,Maynard Sidewalk Connector,6190,,
320,McCrimmon Parkway Extention North side,4405,,
321,McCrimmon Parkway North Side,4391; 4392; 4393; 4396; 4399; 4400; 4401; 4404,,
322,McCrimmon Parkway South Side,4397; 4398; 4403; 4438,,
323,McCrimmon Pkwy Extension,4406,,
324,Meadow Loop,4051; 4341; 6927,,
325,Medfield Greenway,6156,,
326,Middle Crabtree,3003,,
327,Middle Crabtree Creek Trail,445; 4142; 4143; 6034; 6036,,
328,Middle Creek Connector Greenway,3611; 3839; 3841,,
329,Middle Creek Connector Trail,3615,,
330,Middle Creek Greenway,3765; 3768; 3769; 6883,,
331,Middle Creek Park Greenway,6146,,
332,Middle Walnut Creek Segment,502; 503; 504,,
333,Milano Ave,6666; 6667; 6668; 6672,,
334,Milburnie Park Trails,825; 6526; 6527,,
335,Miller Park Greenway,4253; 4254; 4255; 4256; 4257; 4258; 4259; 4260; 4261; 4263; 4264; 4265; 4266; 4267; 4268,,
336,Mills Park Drive Street-Side Trail,4139,,
337,Mills Park Greenway,3355; 3375; 3919; 4910,,
338,Mills Spring Greenway,4370,,
339,Mingo Creek Greenway,6923,,
340,Miramonte Greenway,3764; 6788,,
341,"Miramonte Greenway, Section A",6787,,
342,"Miramonte Greenway, Section B",6786,,
343,Montvale Greenway,3605; 3812,,
344,Morphus Bridge R,29,,
345,Morris Branch Greenway,3366; 3369; 3370; 3371; 3598; 6497,,
346,Morris Branch Greenway (Amberly Lake),3372; 3373,,
347,Morrisville Carpenter Rd North Side,4413; 4414,,
348,Morrisville Carpenter Rd Southside,4411,,
349,Morrisville Carpenter Rd Street-Side  Trail,3385,,
350,Morrisville Carpenter Rd Street-Side Trail,3384,,
351,Morrisville Carpernter Rd North Side,4469,,
352,Morrisville Carpernter Rd South Side,4415,,
353,Morrisville Market Greenway,3871,,
354,Morrisville Parkway South Side,4439; 4440; 4441; 4442; 4443; 4447; 4452,,
355,Morrisville Pkwy Street-Side Trail,3602; 3626; 3636; 3677; 3963; 6893; 6894; 6895,,
356,N Turkey Creek Trail,658,,
357,N. Beaver Dam Greenway,119,,
358,NC 55 Street-Side Trail (East),3617; 3707; 4321; 6120; 6812,,
359,NC 55 Street-Side Trail (West),3597; 3616; 3618; 3620; 3621; 6843; 6907,,
360,NC 96 Bike Route,33,,
361,NC Hwy 55 Street-Side Trail,6535,,
362,NE Maynard Rd Street-Side Trail,6633,,
363,NW Cary Parkway,4446,,
364,NW Cary Pkwy Street Side Trail,6174,,
365,Nancy Branch Greenway,3576; 3588; 3592; 6561; 6910; 6915,,
366,Nancy Branch Greenway Connector,6493; 6494,,
367,Nature Trail Loop,105; 3827,,
368,Neuse R. Extension,486,,
369,Neuse River Greenway Extension,5922,,
370,Neuse River Trail,4743; 4745; 4746; 6236; 6237; 6238; 6239; 6240; 6241; 6242; 6243; 6244; 6246; 6251; 6253; 6255; 6257; 6259; 6262; 6264; 6265; 6267; 6269; 6271; 6273; 6275; 6276; 6277; 6278; 6281; 6283; 6285; 6286; 6288; 6290; 6292; 6294; 6296; 6297; 6299; 6301; 6302; 6303; 6304; 6305; 6307; 6309; 6311; 6313; 6315; 6316; 6317; 6319; 6320; 6323; 6325; 6326; 6328; 6330; 6332; 6334; 6336; 6338; 6340; 6342; 6344; 6345; 6347; 6349; 6351; 6353; 6355; 6356; 6357; 6358; 6359; 6361; 6363; 6364; 6365; 6367; 6368; 6369; 6371; 6372; 6373; 6374; 6376; 6377; 6379; 6380; 6382; 6383; 6384; 6386; 6388; 6390; 6392; 6394; 6396; 6398; 6400; 6402; 6404; 6406; 6408; 6410; 6412; 6414; 6415; 6418; 6419; 6420; 6422; 6423; 6424; 6426; 6428; 6430; 6432; 6434; 6436; 6437; 6440; 6442; 6444; 6446; 6448; 6450; 6452; 6454; 6456; 6458; 6461; 6462; 6464; 6467; 6468; 6471; 6473; 6474; 6475; 6476; 6477; 6478; 6479; 6480; 6481; 6482; 6483; 6484; 6485; 6486; 6487; 6488; 6489; 6588; 6589; 6590; 6591; 6592,,
371,New Hope Church Greenway,4136,,
372,North Cary Park Greenway,3564; 4099; 4101; 4102; 4103; 4104; 4105; 6175; 6580,,
373,North Dunn Creek,4249,,
374,North Garner Greenway,155; 3017,,
375,North Harrison Connector Trail,3488,,
376,North Hills Trail,387; 764,,
377,North Salem/Davis Multi-Use Path,6773,,
378,Northwoods Greenway,3485,,
379,Northwoods Greenway Connector,6191,,
380,O'Kelly Chapel Rd East Street-Side Trail,3581,,
381,O'kelley Chapel Road West Street-Side Tr,6584,,
382,Oak Rock Trail,6207,,
383,Old Battle Bridg,39,,
384,Old Bunch Rd. Co,38,,
385,Old Bunn Road,35,,
386,Old Carpenter Greenway,3380,,
387,Old Crews Road,16,,
388,Old Holly Springs Apex Rd,6780; 6783,,
389,Old Jenks Rd,3778; 6807,,
390,Old Knight Route,17,,
391,Old Maynard Rd Street-Side Trail,5916,,
392,Old Milburnie,14,,
393,Old Raleigh Multi-Use Path,6716,,
394,Old Stage Rd Greenway,159,,
395,Old Weatherstone Way Street-Side Trail,6555; 6648,,
396,Olive Chapel Elementary,6688; 6689; 6690,,
397,Olive Chapel Multi-Use Path,6683,,
398,Optimist Farm GW Connector,6901,,
399,Optimist Farm Greenway,6563; 6564; 6565; 6663; 6879; 6880; 6900,,
400,Outer Loop Greenway,3579,,
401,Outer Loop Trail,2889; 2890,,
402,Oxford Hunt Greenway,6113,,
403,Oxxford Hunt Greenway,3447; 3856,,
404,Panther Branch Greenway,161,,
405,Panther Creek Greenway,2859; 3376; 3377; 3622; 3685; 6620,,
406,Panther Creek Greenway Connector,4324,,
407,Park Ridge Estates Greenway,3364; 3664; 3843,,
